experiment_accession	annotation_accession	assay_term_name	experiment_peturbed	experiment_biosample_term_name	assembly	organism	biosample_simple_summary	biosample_classification	biosample_term_id
ENCSR969QKG	ENCSR000SWL	DNase-seq	FALSE	naive thymus-derived CD4-positive, alpha-beta T cell	GRCh38	Homo sapiens	male adult (48 years)	primary cell	CL:0000895
ENCSR653ISV	ENCSR001PBZ	DNase-seq	FALSE	activated CD8-positive, alpha-beta memory T cell	GRCh38	Homo sapiens	female adult (33 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours	primary cell	NTR:0000504
ENCSR624CTU	ENCSR001QFX	ATAC-seq	FALSE	HG03520	GRCh38	Homo sapiens		cell line	EFO:0010885
ENCSR820WLP	ENCSR001WKX	DNase-seq	FALSE	dedifferentiated amniotic fluid mesenchymal stem cell	GRCh38	Homo sapiens	male embryo (15 weeks)	primary cell	NTR:0005063
ENCSR385AMY	ENCSR003PKQ	DNase-seq	FALSE	hindlimb muscle	GRCh38	Homo sapiens	male embryo (120 days)	tissue	UBERON:0003663
ENCSR000EMT	ENCSR003WJE	DNase-seq	FALSE	GM12878	GRCh38	Homo sapiens		cell line	EFO:0002784
ENCSR226LVB	ENCSR003WRD	DNase-seq	FALSE	stimulated activated CD4-positive, alpha-beta T cell	GRCh38	Homo sapiens	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 100 ng/mL Interleukin-4 for 48 hours	primary cell	NTR:0000663
ENCSR559WMK	ENCSR004CWE	DNase-seq	FALSE	tongue	GRCh38	Homo sapiens	male embryo (72 days)	tissue	UBERON:0001723
ENCSR316UDN	ENCSR004IEV	DNase-seq	FALSE	CD8-positive, alpha-beta T cell	GRCh38	Homo sapiens	male adult (37 years)	primary cell	CL:0000625
ENCSR531UVE	ENCSR004INR	DNase-seq	FALSE	stimulated activated CD4-positive, alpha-beta T cell	GRCh38	Homo sapiens	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL Interleukin-15 for 1 hour	primary cell	NTR:0000663
ENCSR329XFZ	ENCSR005GZQ	ATAC-seq	FALSE	dendritic cell	GRCh38	Homo sapiens	treated with 100 ng/mL lipopolysaccharide for 30 minutes	in vitro differentiated cells	CL:0000451
ENCSR426TPQ	ENCSR005MRB	DNase-seq	FALSE	psoas muscle	GRCh38	Homo sapiens	male child (3 years)	tissue	UBERON:0008450
ENCSR149XIL	ENCSR006CUK	DNase-seq	FALSE	HepG2	GRCh38	Homo sapiens		cell line	EFO:0001187
ENCSR000EPH	ENCSR006EOX	DNase-seq	FALSE	MCF-7	GRCh38	Homo sapiens		cell line	EFO:0001203
