experiment_accession	fold	profile_pearson	profile_spearman	count_pearson	count_spearman
ENCSR969QKG	0	0.26175	0.11348	0.87741	0.83509
ENCSR653ISV	0	0.37843	0.20275	0.87071	0.83428
ENCSR624CTU	0	0.61352	0.20508	0.70132	0.66406
ENCSR820WLP	0	0.41012	0.21820	0.76929	0.71878
ENCSR385AMY	0	0.32171	0.12356	0.78221	0.72458
ENCSR000EMT	0	0.33864	0.09917	0.63081	0.58189
ENCSR226LVB	0	0.34398	0.10735	0.83465	0.79041
ENCSR559WMK	0	0.51863	0.26597	0.75901	0.70752
ENCSR316UDN	0	0.54946	0.32396	0.76434	0.68780
ENCSR531UVE	0	0.19536	0.06140	0.88674	0.82568
ENCSR329XFZ	0	0.64765	0.20177	0.74047	0.68598
ENCSR426TPQ	0	0.49689	0.23935	0.71094	0.64184
ENCSR149XIL	0	0.45961	0.20545	0.64857	0.59159
ENCSR000EPH	0	0.50730	0.16182	0.50659	0.49238
ENCSR552QUA	0	0.83116	0.47770	0.79634	0.73102
ENCSR599JZA	0	0.36281	0.13699	0.91471	0.89610
ENCSR193LYA	0	0.31503	0.08867	0.74609	0.70793
ENCSR096BPX	0	0.49615	0.11954	0.82248	0.81351
ENCSR000EOH	0	0.57552	0.26223	0.66342	0.62057
ENCSR508FVM	0	0.33581	0.10452	0.87225	0.84461
ENCSR207TUX	0	0.47006	0.20047	0.70501	0.66125
ENCSR271QID	0	0.33732	0.12517	0.90450	0.88165
ENCSR899YEP	0	0.61568	0.18879	0.71312	0.66422
ENCSR577QZP	0	0.31122	0.10414	0.90023	0.88830
ENCSR318WOD	0	0.31438	0.08906	0.62746	0.59920
ENCSR947VPG	0	0.35823	0.10054	0.67075	0.62047
ENCSR534OJE	0	0.18600	0.04689	0.86273	0.76997
ENCSR303PWB	0	0.81292	0.43064	0.79890	0.73202
ENCSR305QTE	0	0.70627	0.28664	0.83002	0.76076
ENCSR165FYY	0	0.68535	0.25149	0.74008	0.74339
ENCSR177NIJ	0	0.45589	0.18122	0.89111	0.86252
ENCSR679IFH	0	0.22158	0.04714	0.72157	0.65754
ENCSR452COS	0	0.75944	0.33404	0.80752	0.72033
ENCSR032NNU	0	0.42350	0.17076	0.86370	0.82004
ENCSR713KNQ	0	0.38591	0.15823	0.87065	0.83629
ENCSR805RJA	0	0.33813	0.13503	0.85501	0.80916
ENCSR134IUJ	0	0.38553	0.15117	0.82979	0.78077
ENCSR033DQS	0	0.25694	0.06799	0.72253	0.67831
ENCSR223KKX	0	0.37145	0.19866	0.85887	0.80143
ENCSR937UWI	0	0.44571	0.24579	0.75868	0.64464
ENCSR111LTT	0	0.25564	0.09676	0.85072	0.78737
ENCSR236KPK	0	0.43481	0.20990	0.81037	0.74673
ENCSR636DIR	0	0.25181	0.09642	0.86726	0.78547
ENCSR037PIU	0	0.36653	0.13970	0.81159	0.76556
ENCSR940CXU	0	0.39711	0.19091	0.94302	0.91890
ENCSR222SCA	0	0.61486	0.20718	0.75969	0.70615
ENCSR656KLT	0	0.50477	0.22607	0.73561	0.68759
ENCSR543WNA	0	0.25026	0.08650	0.88212	0.83375
ENCSR650TZF	0	0.31951	0.09880	0.87731	0.84139
ENCSR284VNJ	0	0.20426	0.05556	0.89033	0.81108
ENCSR932KWJ	0	0.52412	0.24662	0.66988	0.63661
ENCSR396EWH	0	0.32187	0.15292	0.85172	0.79272
ENCSR486FMF	0	0.33324	0.11111	0.83924	0.80502
ENCSR821JHD	0	0.62163	0.20559	0.71345	0.66723
ENCSR785JXR	0	0.46267	0.20058	0.89647	0.86293
ENCSR632ONQ	0	0.37435	0.15555	0.93331	0.92439
ENCSR548SSP	0	0.74869	0.35248	0.85798	0.78371
ENCSR017TFH	0	0.27044	0.06401	0.77795	0.72982
ENCSR000EME	0	0.42637	0.11822	0.63081	0.59599
ENCSR002IHL	0	0.37613	0.14140	0.91939	0.89368
ENCSR283LPH	0	0.78567	0.41101	0.70908	0.72609
ENCSR098PTC	0	0.49496	0.25693	0.72933	0.68054
ENCSR335LOQ	0	0.30225	0.07911	0.81336	0.77689
ENCSR520BAD	0	0.41137	0.18692	0.72580	0.67290
ENCSR174GXG	0	0.26803	0.06550	0.74681	0.69820
ENCSR440FZS	0	0.52805	0.29275	0.74407	0.69873
ENCSR000ENM	0	0.42112	0.12680	0.67550	0.64333
ENCSR044ATC	0	0.80621	0.39945	0.76004	0.70600
ENCSR563HBG	0	0.41075	0.16151	0.86428	0.82406
ENCSR422IIZ	0	0.22543	0.06421	0.85968	0.82778
ENCSR953JVX	0	0.22188	0.06362	0.82113	0.76393
ENCSR724QTW	0	0.15544	0.03541	0.85069	0.71795
ENCSR541IET	0	0.45409	0.22623	0.89181	0.85230
ENCSR809CEA	0	0.53117	0.29366	0.70873	0.66126
ENCSR765MXG	0	0.70065	0.30009	0.77253	0.71156
ENCSR442GKD	0	0.22074	0.06294	0.85860	0.79909
ENCSR946DXB	0	0.42428	0.24051	0.67409	0.64530
ENCSR275ICP	0	0.53538	0.32642	0.87936	0.86185
ENCSR686WJL	0	0.29329	0.10944	0.80665	0.78738
ENCSR994KTY	0	0.35009	0.14192	0.92069	0.90293
ENCSR859USB	0	0.63016	0.20250	0.83833	0.78871
ENCSR000EMP	0	0.44891	0.15545	0.63496	0.62362
ENCSR424KQH	0	0.64248	0.24119	0.68629	0.66479
ENCSR174MLD	0	0.72521	0.32790	0.84858	0.79515
ENCSR000EPS	0	0.36829	0.08561	0.74170	0.70989
ENCSR083STA	0	0.56491	0.29621	0.53475	0.51181
ENCSR890DWH	0	0.77929	0.38088	0.69756	0.63814
ENCSR770OTB	0	0.40764	0.16049	0.85878	0.81394
ENCSR952SPO	0	0.84310	0.54830	0.74605	0.69371
ENCSR800QGE	0	0.19964	0.05126	0.80321	0.73456
ENCSR492FJO	0	0.70343	0.29758	0.70783	0.64492
ENCSR835WBW	0	0.62709	0.20072	0.67701	0.63768
ENCSR818HHN	0	0.36627	0.16857	0.92943	0.92550
ENCSR998IXQ	0	0.26689	0.09189	0.87857	0.82181
ENCSR916MHX	0	0.36461	0.13953	0.87267	0.83217
ENCSR365NDK	0	0.36499	0.14715	0.90832	0.89219
ENCSR496UER	0	0.27663	0.09247	0.83790	0.78898
ENCSR270JQK	0	0.23318	0.07438	0.88088	0.80237
ENCSR374VQC	0	0.36659	0.15366	0.88298	0.84954
ENCSR095QNB	0	0.75928	0.32600	0.70260	0.66365
ENCSR323PWV	0	0.23559	0.07024	0.85385	0.79963
ENCSR754LIN	0	0.44451	0.22014	0.82709	0.79960
ENCSR310RJN	0	0.71549	0.30539	0.75352	0.68083
ENCSR503UNA	0	0.47280	0.25046	0.91691	0.86584
ENCSR141NSQ	0	0.38922	0.12416	0.68177	0.64227
ENCSR340XQX	0	0.39705	0.14952	0.88769	0.85839
ENCSR487QSB	0	0.71528	0.33944	0.70321	0.65147
ENCSR332BSB	0	0.29581	0.07914	0.79070	0.73194
ENCSR242RPQ	0	0.37799	0.16541	0.84132	0.78375
ENCSR960EVM	0	0.28151	0.08933	0.83762	0.78515
ENCSR685ZMP	0	0.85559	0.53642	0.73280	0.69019
ENCSR616AEG	0	0.26266	0.08038	0.81903	0.78231
ENCSR398JUP	0	0.36914	0.16133	0.88672	0.84959
ENCSR884ODJ	0	0.23204	0.06079	0.84156	0.78562
ENCSR419UYY	0	0.63472	0.21787	0.70095	0.65837
ENCSR840TVG	0	0.23460	0.06982	0.81339	0.79130
ENCSR953WJO	0	0.29601	0.10780	0.64481	0.64081
ENCSR619BNL	0	0.22751	0.06274	0.73182	0.70071
