allele	layer	assay_id	region_label	assay_type	cell_type	ref_value	alt_value	raw_score	quantile_score	ref_signal_percentile	note	focus_cell_type
alt_1	chromatin_accessibility	ATAC/EFO:0001187 ATAC-seq/.		ATAC	HepG2	452.350830078125	751.957763671875	0.7319410143137849	0.9971	0.9355		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	variant site	CAGE	HepG2	75.16323852539062	174.33721923828125	1.202965543151349	0.9982	0.9431		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	SORT1 TSS	CAGE	HepG2	7.974090576171875	8.718029022216797	0.11489799565247005	0.9355	0.8868		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	PSRC1 TSS	CAGE	HepG2	52.040283203125	58.77613067626953	0.17248103543880064	0.9628	0.9364		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	CELSR2 TSS	CAGE	HepG2	666.4722900390625	751.1187744140625	0.17225256505893555	0.9627	0.9649		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	MYBPHL TSS	CAGE	HepG2	1.739203929901123	2.002528190612793	0.132421114729017	0.9481	0.8213		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	SARS1 TSS	CAGE	HepG2	12843.8515625	12926.470703125	0.00924981703585054	0.5558	0.9986		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	ELAPOR1 TSS	CAGE	HepG2	84.11001586914062	84.8846206665039	0.013070891189150037	0.6233	0.9443		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	PSMA5 TSS	CAGE	HepG2	100.69617462158203	101.32769012451172	0.008931182586306081	0.5477	0.9465		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	CFAP276 TSS	CAGE	HepG2	23.000904083251953	23.142492294311523	0.008485865736251421	0.5383	0.9174		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	TMEM167B TSS	CAGE	HepG2	3301.42626953125	3306.4072265625	0.0021743371818178066	0.2983	0.9844		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	SYPL2 TSS	CAGE	HepG2	369.93328857421875	372.1636657714844	0.008648775511806706	0.5427	0.9597		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/+	TAF13 TSS	CAGE	HepG2	42.327850341796875	42.26436996459961	-0.002115267202033409	0.2946	0.9313		HepG2
