allele	layer	assay_id	region_label	assay_type	cell_type	ref_value	alt_value	raw_score	quantile_score	effect_exceedance	ref_signal_percentile	note
replacement	chromatin_accessibility	DNASE/EFO:0002067 DNase-seq/.		DNASE	K562	217.70852661132812	21.222328186035156	-3.298927588812509	0.9997		0.901	
replacement	histone_marks	CHIP_HISTONE/EFO:0002067 Histone ChIP-seq H3K27ac/.		CHIP	K562	4746.0	1704.5	-1.476821294816028	0.9999		0.8926	
replacement	histone_marks	CHIP_HISTONE/EFO:0002067 Histone ChIP-seq H3K4me3/.		CHIP	K562	2034.5	954.75	-1.0906780213053617	0.9994		0.8484	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	variant site	CAGE	K562	26.035675048828125	15.520065307617188	-0.7106449891844899	0.9943		0.9233	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	SORT1 TSS	CAGE	K562	6.518287658691406	11.664129257202148	0.7522718648272283	0.9947		0.8753	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	PSRC1 TSS	CAGE	K562	74.07577514648438	36.92109680175781	-0.9853467731922855	0.9969		0.9448	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	CELSR2 TSS	CAGE	K562	608.8311767578125	733.4147338867188	0.26818509452465433	0.9729		0.9655	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	MYBPHL TSS	CAGE	K562	0.9359130859375	1.515873908996582	0.3780454354445037	0.9822		0.7382	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	SARS1 TSS	CAGE	K562	14669.322265625	14967.4677734375	0.029025986163359982	0.7386		0.9991	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	ELAPOR1 TSS	CAGE	K562	47.21363830566406	47.5471076965332	0.009944043655496986	0.5168		0.9363	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	PSMA5 TSS	CAGE	K562	121.78659057617188	188.48623657226562	0.6259400475677217	0.9921		0.9505	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	CFAP276 TSS	CAGE	K562	13.728078842163086	14.728235244750977	0.0947875502785049	0.9094		0.9035	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	TMEM167B TSS	CAGE	K562	3689.5244140625	3616.360595703125	-0.02888841425748416	0.7373		0.9862	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	SYPL2 TSS	CAGE	K562	32.289283752441406	2.9838790893554688	-3.062812062568365	1.0	1.0459962171674926	0.9283	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	TAF13 TSS	CAGE	K562	39.87049102783203	37.620609283447266	-0.08168865174397814	0.8944		0.9332	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	ATXN7L2 TSS	CAGE	K562	1276.46142578125	45.117576599121094	-4.791819214193164	1.0	1.636478069501099	0.9725	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	CYB561D1 TSS	CAGE	K562	895.5762939453125	11.257221221923828	-6.1927224996342	1.0	2.1149075347292245	0.9693	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	AMIGO1 TSS	CAGE	K562	2.65130615234375	0.7373642921447754	-1.0715123486076343	0.9973		0.8244	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	WDR47 TSS	CAGE	K562	3.137577533721924	3.122574806213379	-0.0052406743813635005	0.3756		0.836	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	GPR61 TSS	CAGE	K562	3.330142021179199	0.02713984251022339	-2.0757817292982157	0.9996		0.8397	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	GNAI3 TSS	CAGE	K562	10863.220703125	63.30210876464844	-7.4005029265408915	1.0	2.527382649723369	0.9973	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	GNAT2 TSS	CAGE	K562	996.2197875976562	1407.75244140625	0.4984346953449724	0.9886		0.9702	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	AMPD2 TSS	CAGE	K562	1319.072021484375	47.391700744628906	-4.76971318898052	1.0	1.628928530620922	0.9729	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	CLCC1 TSS	CAGE	K562	40.96290588378906	43.11888122558594	0.07228162090148915	0.88		0.9338	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	GPSM2 TSS	CAGE	K562	2697.54833984375	2507.859130859375	-0.1051520633458169	0.9183		0.9811	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	AKNAD1 TSS	CAGE	K562	7.699841499328613	8.023273468017578	0.052661793096825185	0.8391		0.8833	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	GSTM4 TSS	CAGE	K562	3036.638671875	697.3531494140625	-2.120921590096523	0.9997		0.9828	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	GSTM2 TSS	CAGE	K562	1049.972900390625	3.2282238006591797	-7.957458013321203	1.0	2.717591158114796	0.9705	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	GSTM1 TSS	CAGE	K562	165.1812286376953	0.7423335313796997	-6.575592795764506	1.0	2.2456634783643263	0.9534	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	GSTM3 TSS	CAGE	K562	9.627642631530762	0.9022068977355957	-2.4820755434785564	0.9998		0.8916	
